project_title,recipients,ad_sector_names,transactions_start_year,total_commitments
LB Supporting Innovation in SMEs Project,Lebanon,Banking and financial services,2012,29455311.4962
Ethiopia - Private Sector Development Capacity Building Project,Ethiopia,"Post-secondary education|Government and civil society, general",2004,28109645.6551
Malawi Economic Recovery Development Policy Operation 1,Malawi,"Other social infrastructure and services|Energy generation and supply|Government and civil society, general",2013,51645692.0428
Maternal and Child Health and Nutrition Services Support Project,Togo,"Health, general|Health",2014,14000000.0
RY-CIVIL SERVICE MODERN,Yemen,"Government and civil society, general",2000,38330348.9111
IDA12 Commitment Authority Framework-FY2 5th Dimension Credit,Cameroon,"Forestry|Other social infrastructure and services|Government and civil society, general|Transport and storage",2002,6774746.8716
Health Sector Support and Multi-Sectoral Aids Project - Additional Financing,Burkina Faso,Other social infrastructure and services|Health,2011,36000000.0
Sustainable Management of Mineral Resources Project,Uganda,"Other social infrastructure and services|Mineral resources and mining|Government and civil society, general",2003,30105313.2024
Ethiopia/Nile Basin Initiative: Ethiopia-Sudan Interconnector,Ethiopia,Energy generation and supply,2007,43806105.8306
PETROLEUM SECTOR MANAGEMENT CAPACITY BUILDING PROJECT,Chad,"Other social infrastructure and services|Mineral resources and mining|Government and civil society, general",2000,30280975.6397
Egypt National Railways Restructuring Project,Egypt,Transport and storage,2009,279440477.367
THIRD NATIONAL FADAMA DEVELOPMENT PROJECT - ADDITIONAL FINANCING,Nigeria,"Agriculture, forestry, fishing|Agriculture|Government and civil society, general",2013,206582768.17099997
MINERAL RESOURCES GOVERNANCE PROJECT,Madagascar,"Government and civil society, general|Mineral resources and mining",2003,38534800.8991
HIV/AIDS Program Development Project,Nigeria,"Health|Agriculture|Government and civil society, general",2001,112824832.438
Emergency Power Supply Project,Kenya,Energy generation and supply|Mineral resources and mining,2000,91992837.3866
KENYA: NATIONAL URBAN TRANSPORT IMPROVEMENT PROJECT,Kenya,Transport and storage,2012,294553114.962
IQ - Emergency Road Rehabilitation,Iraq,"Government and civil society, general|Transport and storage",2006,148243943.425
Economic Structural Adjustment Credit,Ethiopia,"Government and civil society, general",2002,147544396.478
Emergency Infrastructure Rehabilitation & Energy Project - Additional Financing,Togo,General environmental protection|Transport and storage,2013,14460793.772
Fifth Dimension: FY02 IDA Reflows,Kenya,"Education, level unspecified|Agriculture|Transport and storage|Government and civil society, general",2002,1819714.22323
Tanzania-FY04 IDA Reflow,Tanzania,"Government and civil society, general",2004,222534.694769
Ouagadougou Water Supply Project,Burkina Faso,Water supply and sanitation,2001,87461110.4173
Burkina Faso Donsin Transport Infrastructure Project,Burkina Faso,Transport and storage,2013,87797676.4727
SUPPLEMENTAL CREDIT FOR THE TRANSPORT & INFRASTRUCTURE PROJECT,Cabo Verde,"Government and civil society, general|Transport and storage",2001,6247222.17266
Supplemental Credit to the Economic Management Credit Project,Mali,"Communications|Banking and financial services|Health|Government and civil society, general|Education, level unspecified",2000,32453028.7447
TN - ECAL IV,Tunisia,"Banking and financial services|Government and civil society, general",2005,170037915.848
Cote d'Ivoire - Emergency Infrastructure Renewal Project,Cote D'Ivoire,Water supply and sanitation|Transport and storage|Energy generation and supply|General environmental protection,2012,98184371.6538
Energy Sector Recovery Project,Kenya,"Energy generation and supply|Mineral resources and mining|Government and civil society, general",2004,93698818.8503
Post Conflict - Economic Rehabilitation Credit,Congo,"Other social infrastructure and services|Communications|Government and civil society, general|Education, level unspecified",2001,47066571.8488
Local Government Development Program,Mauritania,"Government and civil society, general",2013,25822846.0214
BCEAO REGIONAL PAYMENT SYSTEMS PROJECT,Africa,Communications|Banking and financial services,2000,12010175.9921
Health and Nutrition Support Project,Mauritania,"Banking and financial services|Health|Government and civil society, general",2006,10981032.8463
Cameroon : Third Structural Adjustment Credit (SAC III),Cameroon,"Forestry|Communications|Transport and storage|Government and civil society, general|Agriculture, forestry, fishing",2003,3985943.4680000003
ET-Productive Safety Nets II (FY09) Additional Financing,Ethiopia,Other social infrastructure and services,2008,26099645.1252
Economic Rehabilitation and Recovery Project,Sierra Leone,"Communications|Government and civil society, general|Other social infrastructure and services",2000,38330348.9111
Second Social Action Fund Project (FAS II),Angola,"Water supply and sanitation|Education, level unspecified|Health|Other social infrastructure and services",2000,42163383.8022
Youth Employment Support,Sierra Leone,Other social infrastructure and services,2010,20426351.6809
Sierra Leone Extractive Industries Technical Assistance Project (EI-TAP) - Additional Financing,Sierra Leone,Mineral resources and mining|Energy generation and supply,2011,4000000.0
AIDS Response Project (GARFUND),Ghana,"Other social infrastructure and services|Health|Government and civil society, general",2000,31941957.4259
Asset Management Reform Sector Adjustment Loan Project,Morocco,"Other social infrastructure and services|Health|Government and civil society, general",2003,54189563.7644
SN-Participatory Local Development Program,Senegal,Water supply and sanitation|Other social infrastructure and services|Health|Transport and storage|Basic education,2006,54960069.3957
Mineral Governance Support Project,Guinea,Transport and storage|Mineral resources and mining|Energy generation and supply,2012,19636874.3308
Poverty Reduction Support Credit (1),Burkina Faso,"Education, level unspecified|Health|Government and civil society, general|Basic education",2001,56224999.5539
Mozambique Conservation Areas for Biodiversity and Development Project,Mozambique,"Agriculture, forestry, fishing|Industry|Agriculture",2014,40000000.0
Rwanda Third Community Living Standards Grant,Rwanda,Other social infrastructure and services|Banking and financial services|Health,2011,6000000.0
Comoros Development Policy Grant 2,Comoros,"Agriculture|Energy generation and supply|Government and civil society, general",2012,4909218.5826900005
Distance Learning Project,Senegal,Communications,2000,2683124.42378
DRC Human Development Systems Strengthening,Democratic Republic of Congo,"Other social infrastructure and services|Health|Education, level unspecified",2014,15000000.0
LB - Urban Transport Development - Additional Financing,Lebanon,Transport and storage,2009,72137041.75
"LR: Youth, Employment, Skills Project",Liberia,Other social infrastructure and services|Secondary education,2010,6127905.504269999
Competitiveness and Savings Development Policy Loan (CSDPL),Turkey,"Other social infrastructure and services|Banking and financial services|Government and civil society, general",2013,826331072.6839999
Ebola Emergency Response Project,Western Africa,Other social infrastructure and services|Health,2014,105000000.0
AFCC2/RI-East Africa Trade and Transport Facilitation Project,Eastern Africa,"Government and civil society, general|Transport and storage",2006,218544515.70700002
Privatization and Utility Reform Project,Malawi,"Water supply and sanitation|Communications|Government and civil society, general|Energy generation and supply",2000,36924902.7843
SAC III - IDA Reflows II,Cameroon,"Forestry|Other social infrastructure and services|Government and civil society, general|Transport and storage",2000,14054461.2674
IDA Reflow,Ghana,"Agriculture|Banking and financial services|Health|Government and civil society, general",2001,562249.995539
Poverty Reduction Support Credit 4,Uganda,"Water supply and sanitation|Education, level unspecified|Health|Government and civil society, general|Agriculture, forestry, fishing",2004,175685285.344
BAM EARTHQUAKE EMERGENCY RECONSTRUCTION PROJECT,Iran,Communications|Other|Transport and storage,2004,257671751.838
Utilities Sector Reform Project,Lesotho,"Banking and financial services|Energy generation and supply|Government and civil society, general",2001,35734110.8276
Financial Sector Adjustment Loan,Turkey,"Industry|Banking and financial services|Government and civil society, general",2000,993752625.868
Private Sector Renewable Energy and Energy Efficiency Additional Financing,Turkey,Energy generation and supply,2011,500000000.0
Power and Water Project,Sierra Leone,"Water supply and sanitation|Other social infrastructure and services|Government and civil society, general|Energy generation and supply",2004,40993233.247
